del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS2119;Enfidha;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;43426;9981;9325;1179;1399;45860;389,33;0,348
TS211A;Bouficha;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;23581;8701;5241;1079;748;25388;270,28;0,33
TS211B;Kondar;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;11636;0;2186;223;368;12320;198,55;0,313
TS211C;Sidi El Heni;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;11614;3058;2727;308;436;11900;367,34;0,297
TS211D;Msaken;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;85380;64165;25073;4245;2076;90777;337,21;0,518
TS211E;Kalaa Seghira;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;27726;25078;7267;3524;717;32012;106,04;0,421
TS2120;Monastir;TS212;Monastir;TS21;Centre-est;TS2;Centre;1;81294;81294;27047;12093;5605;95876;67,3;0,62
TS2121;Ouerdanine;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;18852;18852;4486;1216;674;20944;53,72;0,411
TS2122;Sahline;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;21799;21799;5791;1899;754;24944;44,33;0,465
TS2123;Zermadine;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;25947;25947;5914;649;717;27041;193,74;0,339
TS2124;Beni Hassen;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;12650;12650;3489;542;329;13789;101,3;0,372
TS2125;Jammel;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;55272;55272;13239;3435;1780;63281;146,89;0,466
TS2126;Bembla;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;27382;27382;5907;2757;528;31798;49,86;0,468
TS2127;Moknine;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;75885;75885;16561;2198;2081;81468;196,69;0,446
TS2128;Bekalta;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;13695;13695;3847;539;525;14373;46,23;0,388
TS2129;Teboulba;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;31154;31154;7498;1643;941;34411;19,06;0,453
TS212A;Ksar Helal;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;39991;39991;10453;3379;1717;45001;23,89;0,507
TS212B;Ksibet El Mediouni;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;28722;28722;6889;1801;641;31510;38,62;0,441
TS212C;Sayada-Lamta Bou-Hjar;TS212;Monastir;TS21;Centre-est;TS2;Centre;0;22947;22947;6273;1827;732;25163;12,68;0,472
TS2130;Mahdia;TS213;Mahdia;TS21;Centre-est;TS2;Centre;1;71719;54902;20666;5649;4616;77954;168;0,482
TS2131;Bou Merdes;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;29559;10167;6291;802;651;31593;193,99;0,309
TS2132;Ouled Chamekh;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;22732;5093;5152;403;902;22028;351,11;0,175
TS2133;Chorbane;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;28577;5849;6033;430;1553;29732;443,54;0,224
TS2134;Hebira;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;11057;3179;2703;345;536;10581;271,64;0,19
TS2135;Essouassi;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;46276;4633;9263;564;1952;48438;349,87;0,264
TS2136;El Djem;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;41064;18302;9330;913;1347;42159;290,33;0,327
TS2137;Chebba;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;23334;19883;8513;1191;1000;24671;118,86;0,392
TS2138;Melloulech;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;19464;6411;4425;364;508;20328;157,45;0,259
TS2139;Sidi Alouane;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;35272;6651;8325;807;883;36797;290,86;0,265
TS213A;Ksour Essef;TS213;Mahdia;TS21;Centre-est;TS2;Centre;0;48799;32635;15569;1194;1166;49856;220,82;0,342
TS2140;Sfax Ville;TS214;Sfax;TS21;Centre-est;TS2;Centre;1;105958;105958;34872;13415;26561;108279;27,09;0,555
TS2141;Sfax Ouest;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;104998;104998;30495;17961;6515;111597;15,58;0,572
